Stop ID,Neighborhood,Station Name,Line,canTransfer,Latitude,Longitude
1,4 Avenue,25th St,R,FALSE,40.660396999999996,-73.998091
2,4 Avenue,36th St,D,TRUE,40.655144,-74.00354899999999
3,4 Avenue,36th St,N,TRUE,40.655144,-74.00354899999999
4,4 Avenue,36th St,R,TRUE,40.655144,-74.00354899999999
5,4 Avenue,45th St,R,FALSE,40.648939,-74.010006
6,4 Avenue,53rd St,R,FALSE,40.645069,-74.014034
7,4 Avenue,59th St,N,TRUE,40.641362,-74.017881
8,4 Avenue,59th St,R,TRUE,40.641362,-74.017881
9,4 Avenue,77th St,R,FALSE,40.629742,-74.02551
10,4 Avenue,86th St,R,FALSE,40.622687,-74.028398
11,4 Avenue,95th St,R,FALSE,40.616622,-74.030876
12,4 Avenue,4th Av - 9th St,F,TRUE,40.670846999999995,-73.988302
13,4 Avenue,4th Av - 9th St,G,TRUE,40.670846999999995,-73.988302
14,4 Avenue,4th Av - 9th St,R,TRUE,40.670846999999995,-73.988302
15,4 Avenue,Atlantic Av - Barclays Ctr,B,TRUE,40.683665999999995,-73.97881
16,4 Avenue,Atlantic Av - Barclays Ctr,Q,TRUE,40.683665999999995,-73.97881
17,4 Avenue,Atlantic Av - Barclays Ctr,D,TRUE,40.683665999999995,-73.97881
18,4 Avenue,Atlantic Av - Barclays Ctr,N,TRUE,40.683665999999995,-73.97881
19,4 Avenue,Atlantic Av - Barclays Ctr,R,TRUE,40.683665999999995,-73.97881
20,4 Avenue,Atlantic Av - Barclays Ctr,2,TRUE,40.683665999999995,-73.97881
21,4 Avenue,Atlantic Av - Barclays Ctr,3,TRUE,40.683665999999995,-73.97881
22,4 Avenue,Atlantic Av - Barclays Ctr,4,TRUE,40.683665999999995,-73.97881
23,4 Avenue,Atlantic Av - Barclays Ctr,5,TRUE,40.683665999999995,-73.97881
24,4 Avenue,Bay Ridge Av,R,FALSE,40.634966999999996,-74.023377
25,4 Avenue,DeKalb Av,B,TRUE,40.690635,-73.981824
