Stop ID,Neighborhood,Station Name,Line,canTransfer,Latitude,Longitude,Express
33,Astoria,39th Av,N,TRUE,40.752882,-73.932755,express
34,Astoria,39th Av,W,TRUE,40.752882,-73.932755,local
35,Astoria,Astoria Blvd,N,TRUE,40.770258,-73.917843,express
36,Astoria,Astoria Blvd,W,TRUE,40.770258,-73.917843,local
37,Astoria,Broadway,N,TRUE,40.76182,-73.925508,express
38,Astoria,Broadway,W,TRUE,40.76182,-73.925508,local
39,Astoria,Astoria - Ditmars Blvd,N,TRUE,40.775036,-73.912034,express
40,Astoria,Astoria - Ditmars Blvd,W,TRUE,40.775036,-73.912034,local
41,Brighton,7th Av,B,TRUE,40.67705,-73.972367,express
42,Brighton,7th Av,Q,TRUE,40.67705,-73.972367,local
43,Brighton,Av H,Q,FALSE,40.62927,-73.961639,local
44,Brighton,Av J,Q,FALSE,40.625039,-73.960803,local
45,Brighton,Av M,Q,FALSE,40.617618,-73.959399,local
46,Brighton,Av U,Q,FALSE,40.5993,-73.955929,local
47,Brighton,Beverly Rd,Q,FALSE,40.644031,-73.964492,local
48,Brighton,Brighton Beach,B,TRUE,40.577621,-73.961376,express
49,Brighton,Brighton Beach,Q,TRUE,40.577621,-73.961376,local
50,Brighton,Church Av,B,TRUE,40.650527,-73.962982,express
51,Brighton,Church Av,Q,TRUE,40.650527,-73.962982,local
52,Brighton,Cortelyou Rd,Q,FALSE,40.640927,-73.963891,local
53,Brighton,Kings Highway,B,TRUE,40.60867,-73.957734,express
54,Brighton,Kings Highway,Q,TRUE,40.60867,-73.957734,local
55,Brighton,Neck Rd,Q,FALSE,40.595246,-73.955161,local
56,Brighton,Newkirk Plaza,B,TRUE,40.635082,-73.962793,express
57,Brighton,Newkirk Plaza,Q,TRUE,40.635082,-73.962793,local
58,Brighton,Ocean Parkway,Q,FALSE,40.576312,-73.968501,local
59,Brighton,Parkside Av,Q,FALSE,40.655292,-73.961495,local
60,Brighton,Prospect Park,B,TRUE,40.661614,-73.962246,express
61,Brighton,Prospect Park,Q,TRUE,40.661614,-73.962246,local
62,Brighton,Prospect Park,S2,TRUE,40.661614,-73.962246,local
63,Brighton,Sheepshead Bay,B,TRUE,40.586896,-73.954155,express
64,Brighton,Sheepshead Bay,Q,TRUE,40.586896,-73.954155,local
65,Brighton,Coney Island - Stillwell Av,D,TRUE,40.577422,-73.981233,express
66,Brighton,Coney Island - Stillwell Av,F,TRUE,40.577422,-73.981233,local
67,Brighton,Coney Island - Stillwell Av,N,TRUE,40.577422,-73.981233,express
68,Brighton,Coney Island - Stillwell Av,Q,TRUE,40.577422,-73.981233,local
69,Brighton,West 8th St - New York Aquarium,F,TRUE,40.576127,-73.975939,local
