1,N,R
4,N,R
8,F,G,R
9,B,Q,D,N,R,2,3
11,B,Q,R
12,B,Q,D,N,R,2,3
15,N,Q
16,N,Q
17,N,Q
18,N,Q
19,N,Q
20,N,Q
21,B,Q
22,B,Q,D,N,R,2,3
23,B,Q
24,B,Q
25,B,Q
26,B,Q
27,B,Q
28,B,Q
29,B,Q
30,B,Q
31,B,Q
32,B,Q
33,B,Q
35,B,Q
36,B,Q,S
37,B,Q
38,D,F,N,Q
39,F,Q
40,N,R
41,N,R
42,B,D,F,M,N,Q,R
43,N,Q,R
44,N,Q,R
45,N,Q,R
46,N,R
47,J,N,Q,R,Z,6
50,R,2,3,4,5
51,A,C,F,R
52,N,Q,R,4,5,6
53,N,R
55,A,C,E,N,Q,R,S
56,L,N,Q,R,4,5,6
57,R,1
58,J,Z
60,J,Z
62,J,Z
64,J,Z
66,J,Z
67,J,M
69,J,Z
71,J,M
73,J,M
74,J,M,Z
75,J,M,Z
76,J,Z
77,J,Z
78,J,Z
81,F,L,M,1,2,3
82,A,C,E,L
96,G,L
99,L,M
102,L,N,Q,R,4,5,6
104,D,F,N,Q
105,F,Q
106,S,2,3,4,5
107,A,S
115,J,Z
116,J,Z
117,J,N,Q,R,Z,6
118,J,Z,4,5,6
119,J,Z,4,5,6
120,F,J,M,Z
121,A,C,J,Z,2,3,4
130,D,N
136,D,N
146,F,L,M,1,2,3
147,F,M
149,B,D,F,M,N,Q,R
150,B,D,F,M,7
151,B,D,F,M
152,B,D,F,M,7
156,F,G
157,B,D,F,M,6
158,F,G
160,F,J,M,Z
163,B,D
165,F,G,R
167,B,C
168,B,C
169,A,B,C,D
170,B,C
171,A,B,C,D
172,A,C,E,L
175,A,C
179,C,E
180,A,C,E
181,A,C,E,N,Q,R,S
182,C,E
183,A,B,C,D,1
184,B,C
185,B,C
186,B,C
187,B,C
188,A,C,J,Z,2,3,4
189,A,C,E
190,B,C
191,A,C,E,2,3
193,A,C,J,Z,2,3,4
195,C,E
196,A,B,C,D,E,F,M
197,A,C,E,2,3
199,E,J,Z
200,E,J,Z
201,B,D
202,B,D
203,B,D
204,B,D
205,B,D
206,B,D
207,B,D
208,B,D
210,B,D
211,B,D,4
221,G,L
234,A,C,J,L
236,A,C
237,A,C,S
238,A,C,G
239,A,C,F,R
240,A,C
242,A,C
243,A,C
244,A,C
245,A,C
246,A,C
247,A,C
248,A,C
257,E,G,M,7
258,M,R
259,M,R
260,E,M
261,M,R
262,M,R
263,M,R
264,E,F
265,B,D,E
267,M,R
268,e,F,M,R
269,E,F,M,R
270,M,R
271,E,F,M,R,7
273,E,F
274,E,M,6
275,M,R
277,E,M,R
278,M,R
280,M,R
291,A,H
295
296,A,C,E,N,Q,R
302,F,L,M,1,2,3
304,A,C,1
314,1,2,3
316,A,B,C,D,1
318,1,2,3
321,1,2,3
324,1,2,3
331,R,1
332,A,C,E,N,Q,R,S
334,R,2,3,4,5
335,2,3
336,A,C,J,Z,2,3,4
337,A,C,E,1,2,3
338,2,3
344,B,D,N,Q,R,2,3
345,2,3
346,2,3
347,S,2,3,4,5
348,2,3
349,2,3
351,2,3,4,5
353,3,4
357,E,G,M,7
358,B,D,F,M,7
362,E,F,M,R,7
365
371,N,Q,7
375,4,5
376,2,4,5
388
389,2,3
390,2,3
391,2,3
392,2,3
398,4,5,6
399,L,N,Q,R,4,5,6
403,E,M,6
404,N,Q,R,4,5,6
407,4,5,6
410,B,D,F,M,6
411,R,2,3,4,5
412,4,5
413,J,Z,4,5,6
414,J,Z,4,5,6
415,J,Z,4,5,6
416,J,Z,4,5,6
417,J,Z,4,5,6
418,J,Z,4,5,6
419,J,Z,4,5,6
420,J,Z,4,5,6
421,J,N,Q,R,Z,6
422,A,C,J,Z,2,3,4
423
425,4,5
433,2,5
434,2,5
435,2,5
436,2,5
437,2,5
438,2,5
439,2,5
458,2,5
459,2,5
460,2,5
461,2,5
462,2,5
463,2,5
464,2,5
465,2,5
466,2,5
467,2,5
468,2,5
469,2,5
470,2,5
471,2,5
472,2,5
473,2,5
474,2,5
475,2,5
476,2,5
